"Month","Sessions that reached checkout","Sessions that completed checkout","Checkout conversion rate","Month (previous_period)","Sessions that reached checkout (previous_period)","Sessions that completed checkout (previous_period)","Checkout conversion rate (previous_period)","Sessions that reached checkout (previous_period) ","Sessions that completed checkout (previous_period) ","Checkout conversion rate (previous_period) "
"2025-05-01",26,8,0.3076923076923077,"2024-05-01",29,10,0.3448275862068966,-10.344827586206897,-20,-10.76923076923077
"2025-06-01",39,19,0.48717948717948717,"2024-06-01",52,18,0.34615384615384615,-25,5.555555555555555,40.74074074074074
"2025-07-01",86,23,0.26744186046511625,"2024-07-01",30,13,0.43333333333333335,186.66666666666666,76.92307692307692,-38.282647584973176
"2025-08-01",42,17,0.40476190476190477,"2024-08-01",23,6,0.2608695652173913,82.6086956521739,183.33333333333334,55.158730158730165
"2025-09-01",87,32,0.367816091954023,"2024-09-01",41,17,0.4146341463414634,112.1951219512195,88.23529411764706,-11.291413116970922
"2025-10-01",145,61,0.4206896551724138,"2024-10-01",60,24,0.4,141.66666666666666,154.16666666666666,5.172413793103445
"2025-11-01",251,91,0.36254980079681276,"2024-11-01",99,48,0.48484848484848486,153.53535353535352,89.58333333333333,-25.22410358565737
"2025-12-01",242,82,0.33884297520661155,"2024-12-01",124,58,0.46774193548387094,95.16129032258064,41.37931034482759,-27.55770874893132
"2026-01-01",95,26,0.2736842105263158,"2025-01-01",39,16,0.41025641025641024,143.5897435897436,62.5,-33.28947368421052
"2026-02-01",105,25,0.23809523809523808,"2025-02-01",71,29,0.4084507042253521,47.88732394366197,-13.793103448275861,-41.707717569786546
"2026-03-01",100,40,0.4,"2025-03-01",57,26,0.45614035087719296,75.43859649122807,53.84615384615385,-12.307692307692298
"2026-04-01",110,29,0.2636363636363636,"2025-04-01",60,21,0.35,83.33333333333333,38.095238095238095,-24.675324675324678
"2026-05-01",60,16,0.26666666666666666,"2025-05-01",29,7,0.2413793103448276,100,100,0
