"Month","Bounce rate","Month (previous_period)","Bounce rate (previous_period)","Bounce rate (previous_period) "
"2025-05-01",0.4923599320882852,"2024-05-01",0.5330330330330331,-7.630502881465372
"2025-06-01",0.6047819971870605,"2024-06-01",0.47619047619047616,27.004219409282708
"2025-07-01",0.4034175334323923,"2024-07-01",0.47788697788697787,-15.583066268903002
"2025-08-01",0.6188524590163934,"2024-08-01",0.5291607396870555,16.949806099065746
"2025-09-01",0.4998889629136131,"2024-09-01",0.4139142656359803,20.77113654092894
"2025-10-01",0.48820445609436436,"2024-10-01",0.46448645886561063,5.106283891822998
"2025-11-01",0.4837404249168955,"2024-11-01",0.4102712060011541,17.90747628424471
"2025-12-01",0.5597000576812151,"2024-12-01",0.4663677130044843,20.012608522029776
"2026-01-01",0.694569536423841,"2025-01-01",0.4983221476510067,39.38163087831961
"2026-02-01",0.8306789606035205,"2025-02-01",0.48886086591004624,69.92134542354044
"2026-03-01",0.7965053179943564,"2025-03-01",0.5816473988439307,36.939547839029714
"2026-04-01",0.8095189667446354,"2025-04-01",0.553343949044586,46.295801759893834
"2026-05-01",0.6853281853281853,"2025-05-01",0.5566218809980806,23.404610115573558
