"Month","Sessions","Sessions with cart additions","Sessions that reached checkout","Sessions that completed checkout","Conversion rate","Month (previous_period)","Sessions (previous_period)","Sessions with cart additions (previous_period)","Sessions that reached checkout (previous_period)","Sessions that completed checkout (previous_period)","Conversion rate (previous_period)","Sessions (previous_period) ","Sessions with cart additions (previous_period) ","Sessions that reached checkout (previous_period) ","Sessions that completed checkout (previous_period) ","Conversion rate (previous_period) "
"2025-05-01",589,47,26,8,0.013582342954159592,"2024-05-01",666,67,29,10,0.015015015015015015,-11.561561561561561,-29.850746268656717,-10.344827586206897,-20,-9.541595925297115
"2025-06-01",1422,81,39,19,0.013361462728551337,"2024-06-01",1029,84,52,18,0.01749271137026239,38.19241982507289,-3.5714285714285716,-25,5.555555555555555,-23.616971401781527
"2025-07-01",2692,204,86,23,0.008543833580980683,"2024-07-01",814,64,30,13,0.01597051597051597,230.7125307125307,218.75,186.66666666666666,76.92307692307692,-46.50245742370557
"2025-08-01",1952,109,42,17,0.008709016393442622,"2024-08-01",703,61,23,6,0.008534850640113799,177.66714082503557,78.68852459016394,82.6086956521739,183.33333333333334,2.0406420765027136
"2025-09-01",4503,232,87,32,0.0071063735287586055,"2024-09-01",1423,131,41,17,0.011946591707659873,216.44413211524946,77.09923664122137,112.1951219512195,88.23529411764706,-40.51547334456767
"2025-10-01",6104,316,145,61,0.009993446920052424,"2024-10-01",1957,155,60,24,0.012263668880940215,211.90597853857946,103.87096774193549,141.66666666666666,154.16666666666666,-18.511768239405857
"2025-11-01",6919,403,251,91,0.013152189622777859,"2024-11-01",1733,221,99,48,0.027697634160415464,299.2498557414888,82.3529411764706,153.53535353535352,89.58333333333333,-52.51511538276244
"2025-12-01",5201,370,242,82,0.015766198807921555,"2024-12-01",1784,218,124,58,0.032511210762331835,191.53587443946188,69.72477064220183,95.16129032258064,41.37931034482759,-51.50534711494473
"2026-01-01",3775,121,95,26,0.006887417218543046,"2025-01-01",1192,109,39,16,0.013422818791946308,216.69463087248323,11.009174311926605,143.5897435897436,62.5,-48.688741721854306
"2026-02-01",8351,164,105,25,0.002993653454676087,"2025-02-01",2379,180,71,29,0.012189995796553174,251.02984447246743,-8.88888888888889,47.88732394366197,-13.793103448275861,-75.44171872870893
"2026-03-01",9214,232,100,40,0.004341219882787063,"2025-03-01",1384,110,57,26,0.01878612716763006,565.7514450867052,110.9090909090909,75.43859649122807,53.84615384615385,-76.89135262393349
"2026-04-01",9833,227,110,29,0.002949252517034476,"2025-04-01",1256,96,60,21,0.016719745222929936,682.8821656050956,136.45833333333334,83.33333333333333,38.095238095238095,-82.36066113621285
"2026-05-01",3108,144,60,16,0.005148005148005148,"2025-05-01",521,46,29,7,0.013435700575815739,473.43173431734317,200,100,100,-65.12226512226512
