"Month","Online store visitors","Sessions","Month (previous_period)","Online store visitors (previous_period)","Sessions (previous_period)","Online store visitors (previous_period) ","Sessions (previous_period) "
"2025-05-01",479,589,"2024-05-01",532,666,-9.962406015037594,-11.561561561561561
"2025-06-01",1095,1422,"2024-06-01",682,1029,60.557184750733136,38.19241982507289
"2025-07-01",2109,2692,"2024-07-01",544,814,287.68382352941177,230.7125307125307
"2025-08-01",1530,1952,"2024-08-01",517,703,195.93810444874273,177.66714082503557
"2025-09-01",3410,4503,"2024-09-01",1006,1423,238.9662027833002,216.44413211524946
"2025-10-01",4678,6104,"2024-10-01",1386,1957,237.51803751803752,211.90597853857946
"2025-11-01",5527,6919,"2024-11-01",1167,1733,373.60754070265637,299.2498557414888
"2025-12-01",4051,5201,"2024-12-01",1147,1784,253.18221447253705,191.53587443946188
"2026-01-01",3220,3775,"2025-01-01",811,1192,297.0406905055487,216.69463087248323
"2026-02-01",7524,8351,"2025-02-01",1845,2379,307.8048780487805,251.02984447246743
"2026-03-01",8105,9214,"2025-03-01",909,1384,791.6391639163917,565.7514450867052
"2026-04-01",8799,9833,"2025-04-01",865,1256,917.2254335260116,682.8821656050956
"2026-05-01",2639,3100,"2025-05-01",363,521,596.3060686015831,473.01293900184845
